Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
COPE	1.05788636873603	5.39549440146582	11.8624629810315	3.43901475920763e-28	1.55714215955418e-26	53.1535048400653
POLD1	1.22120511220049	2.18299270376373	11.857461442677	3.59635649010265e-28	1.624412825371e-26	53.1091832950968
C8orf76	1.00180488597273	2.08582279085289	11.8558524952268	3.64847956485258e-28	1.64594867384909e-26	53.094927443884
CCDC124	1.05780270656607	4.85790513109848	11.8538821429404	3.71333597622646e-28	1.67316956067489e-26	53.0774707227864
BOP1	1.68848127705653	3.95660837281702	11.8453306839807	4.00837832254207e-28	1.79302314384436e-26	53.0017240815985
FAM83H	1.60887281477096	3.79982034135665	11.837540521974	4.29741212364806e-28	1.91768132814068e-26	52.9327444395812
TONSL	1.12821026883057	1.45473585811143	11.8267997315198	4.73023394613934e-28	2.10322214762436e-26	52.8376748263907
TRIM25	1.08362683516633	2.44003206335732	11.8234468973485	4.87403082337883e-28	2.15938222052996e-26	52.8080067869078
TMEM258	1.01007152432522	4.30452998550808	11.8210885203655	4.97777596055481e-28	2.20271046627275e-26	52.787140855039
RPP21	1.02108888733891	2.20587742959704	11.7990132193361	6.06194963053188e-28	2.66021908075402e-26	52.5919284672787
TLCD1	1.56147367921202	2.96465442495306	11.7897815940165	6.58228142204492e-28	2.86918141235943e-26	52.5103470188385
COL15A1	1.66554874035404	1.69369867218992	11.7897421034291	6.58460014176121e-28	2.86918141235943e-26	52.5099981023369
LIG1	1.16861126482091	2.23916285329634	11.7890638322524	6.62455248665969e-28	2.8831982961328e-26	52.5040053729409
FAM50A	1.43453469714291	4.73614425574348	11.7797545169442	7.19791513599784e-28	3.10718392549054e-26	52.4217722088728
GLA	1.35672060822614	3.22303406290608	11.7749489140413	7.51295681315363e-28	3.23563830750679e-26	52.3793349897001
CDCA5	1.60040202082216	1.66028215731524	11.7732508824997	7.62752567865831e-28	3.28116487904932e-26	52.3643421216042
ARHGEF11	1.25708731907442	2.55157314651413	11.7719813726229	7.71431605876755e-28	3.31465009494933e-26	52.353133618224
ITGA6	1.50786428258495	3.03271740474738	11.7694151518823	7.89276948501746e-28	3.37956527382748e-26	52.3304783038456
CREB3L4	1.09577955314787	2.50032831856202	11.7686354116716	7.94780167384213e-28	3.39527887423027e-26	52.3235950296483
CLCN7	1.12566927216066	2.91428851875685	11.7669063947604	8.07119768649753e-28	3.44005776654195e-26	52.308332687997
RHNO1	1.17637831585128	2.22100690174005	11.7422962093754	1.00489894010927e-27	4.22948260724627e-26	52.091216254067
ZNF512B	1.16830686488867	2.63322762735411	11.7342687836581	1.0793163491211e-27	4.53753903958538e-26	52.020445986801
TCF19	1.77612557217347	2.11231239374741	11.7230303346873	1.19280193249238e-27	4.99762420539058e-26	51.9214081023629
CDKN2C	1.64377537802206	2.20901795264233	11.711908754386	1.31678906602197e-27	5.4799138682384e-26	51.8234472339189
FUS	1.1312955186398	3.74667411522688	11.7106513723558	1.33159005182045e-27	5.52908434297375e-26	51.8123749413646
APOF	-3.39395787853535	4.40071856113669	-11.7051418926125	1.39842043786228e-27	5.78711689134559e-26	51.7638664795271
INMT	-1.80410608899584	1.55476910456984	-11.7021596972697	1.43597644490688e-27	5.92928601632785e-26	51.7376144190083
ATP5MF	1.12477443956954	5.47725998139309	11.6983951540918	1.48482137999077e-27	6.11733195462718e-26	51.7044802341013
NUDT1	1.41813846968247	2.18153071431078	11.6977711424173	1.49307619538176e-27	6.14450623606106e-26	51.698988423809
GSTZ1	-1.47948921543812	2.29340133423674	-11.6957418719869	1.52023772407389e-27	6.24241295169056e-26	51.681130218124
KBTBD11	-1.13690998634785	0.770733547251685	-11.6926571789408	1.56247072765743e-27	6.40872544972046e-26	51.6539869709851
FAM83D	1.68359392731341	2.12470315102821	11.6810712120846	1.73179038044986e-27	7.06410265540772e-26	51.5520705569031
CLTA	1.05611655992087	5.30635805570916	11.6791437161128	1.76167966657954e-27	7.1591613314772e-26	51.5351202304901
SLBP	1.04391744032555	3.89361188533838	11.6718130765377	1.88011872142828e-27	7.61880056939395e-26	51.4706678236518
NDST1	1.18970361384807	3.52474291831357	11.6627843029747	2.036936662269e-27	8.23625110230559e-26	51.3913133260795
FKBP1A	1.03694677293145	5.40238383261997	11.6553904042325	2.17500298082944e-27	8.76580635516439e-26	51.3263510942454
NDRG3	1.20215093170438	2.82404277467856	11.6526479985888	2.22854652673903e-27	8.96209622772641e-26	51.3022618530738
MCM5	1.46907535592232	2.80292558228514	11.6473328551737	2.33608393834652e-27	9.33375155431266e-26	51.2555819431344
COL4A1	1.94546767999785	4.16509627588433	11.6415763329334	2.45838296146663e-27	9.79070840073131e-26	51.205037883365
NACC1	1.00630376071687	3.47208111221883	11.639419314485	2.50583277941096e-27	9.94759212045265e-26	51.1861018673544
KIFC1	1.88196302494733	1.93706994610515	11.6329974752888	2.65256332531931e-27	1.04739488745391e-25	51.129736467035
C17orf58	1.03137567561381	3.08861770518399	11.6206528255582	2.95905861639026e-27	1.16345661394759e-25	51.021430293319
CIZ1	1.05315932610467	3.04925684132163	11.6191557308299	2.99854749610717e-27	1.17773279067675e-25	51.0082994777671
TMEM184B	1.18850573299517	2.81254318922637	11.6170046846251	3.05620543648621e-27	1.19910738301458e-25	50.9894344553527
NME1	1.39987693684213	3.78820897336979	11.6015394427662	3.50453104719395e-27	1.36345400132321e-25	50.8538543774231
ADCK5	1.07325666172581	2.42940288131054	11.5980037022733	3.61589245573093e-27	1.39919265339612e-25	50.8228703694246
UPF3B	1.00749016589382	2.12989304399062	11.5968838515044	3.65189216346132e-27	1.41041482742732e-25	50.8130580263584
PRC1	1.60291285779888	1.70698766799753	11.5913291574123	3.83579927104178e-27	1.47835934860401e-25	50.7643939290944
TOP2A	2.17221854186639	2.25988392105923	11.5909857659151	3.8474662261959e-27	1.48131449153684e-25	50.7613859041278
GPC3	4.74581583588893	5.69619830021209	11.5825962621949	4.14373775393766e-27	1.5920721880741e-25	50.6879101168256
MROH1	1.13410824751711	1.97276019691929	11.5799843743274	4.24052932595801e-27	1.62588742417011e-25	50.6650406155517
CDK16	1.15318208122442	2.85024514173068	11.5688112899782	4.68062702025956e-27	1.78722745955024e-25	50.5672398037651
GARS1	1.07130703177732	4.33142674052095	11.5667487910946	4.76670134365317e-27	1.81821920047607e-25	50.549191538619
SNHG32	1.52865038133557	4.7206764386956	11.5545309212533	5.30987079868947e-27	2.01503068280595e-25	50.4423108407735
NUSAP1	1.8357332421356	2.62469090455656	11.5500068296107	5.52626120044605e-27	2.09285953315052e-25	50.4027492977442
DVL3	1.06189577186824	3.28868115614856	11.5416051579073	5.95166148766141e-27	2.25166126843721e-25	50.3293009078756
ZNF775	1.09003483401471	1.57647925591638	11.5401031782337	6.03107375625206e-27	2.27937663044963e-25	50.31617333143
FANCG	1.1185955082226	1.70814108599497	11.5139989338986	7.59241951223762e-27	2.84048519085108e-25	50.0881584546177
