Cell1	Cell2	cor	p.value
Activated dendritic cell	Effector memeory CD8 T cell	0.572306397770988	1.57821714875584e-30
CD56bright natural killer cell	Effector memeory CD8 T cell	0.544231007566015	5.77990132910623e-27
CD56dim natural killer cell	Effector memeory CD8 T cell	0.318268120628743	5.19651378399852e-08
Central memory CD4 T cell	Effector memeory CD8 T cell	0.634840548702929	7.48893749785807e-40
Central memory CD8 T cell	Effector memeory CD8 T cell	0.619040928935454	2.6754846000074e-37
Effector memeory CD4 T cell	Effector memeory CD8 T cell	0.619064260701629	2.66167661396659e-37
Effector memeory CD8 T cell	Effector memeory CD8 T cell	1	0
Eosinophil	Effector memeory CD8 T cell	0.472712370502426	1.31553224981937e-21
Gamma delta T cell	Effector memeory CD8 T cell	0.63952471436148	3.87200791711063e-43
Immature  B cell	Effector memeory CD8 T cell	0.839436053650017	1.24009659049242e-97
Immature dendritic cell	Effector memeory CD8 T cell	0.52234179682698	8.43154892084614e-27
Macrophage	Effector memeory CD8 T cell	0.769331873550859	3.05343986952761e-72
Mast cell	Effector memeory CD8 T cell	0.705100273909917	7.59482876415649e-56
MDSC	Effector memeory CD8 T cell	0.823540848904988	6.62456469270573e-91
Memory B cell	Effector memeory CD8 T cell	0.193573377902861	0.000206848179274038
Monocyte	Effector memeory CD8 T cell	0.406407755980835	7.1907985555257e-16
Natural killer cell	Effector memeory CD8 T cell	0.684991302017922	1.36130452109202e-51
Natural killer T cell	Effector memeory CD8 T cell	0.750327271924459	7.16510041024712e-67
Neutrophil	Effector memeory CD8 T cell	0.385709217954321	2.53134559521808e-14
Plasmacytoid dendritic cell	Effector memeory CD8 T cell	0.539989141947957	7.31504814593793e-29
Regulatory T cell	Effector memeory CD8 T cell	0.82023827503486	1.36258279873487e-89
T follicular helper cell	Effector memeory CD8 T cell	0.765243295127775	4.8196830282585e-71
Type 1 T helper cell	Effector memeory CD8 T cell	0.865669488723231	1.60815131310385e-110
Type 17 T helper cell	Effector memeory CD8 T cell	0.338182410256745	3.66602297335947e-11
Type 2 T helper cell	Effector memeory CD8 T cell	0.481444973911071	1.84360257677277e-22
riskScore	Effector memeory CD8 T cell	-0.129169675126481	0.0137837302058304
Activated B cell	Eosinophil	0.32763544842902	1.55629112398797e-08
Activated CD4 T cell	Eosinophil	0.0666515804637352	1
Activated CD8 T cell	Eosinophil	0.365600747820738	7.97531962846188e-11
Activated dendritic cell	Eosinophil	0.230147301217115	0.000538696106910281
CD56bright natural killer cell	Eosinophil	0.319275651520755	4.60155690924238e-08
CD56dim natural killer cell	Eosinophil	0.226589332315098	0.00070541513301492
Central memory CD4 T cell	Eosinophil	0.243524682248941	0.000157583891627116
Central memory CD8 T cell	Eosinophil	0.245003364290155	0.000138727975523408
Effector memeory CD4 T cell	Eosinophil	0.298809678518368	5.48135410137259e-07
Effector memeory CD8 T cell	Eosinophil	0.472712370502426	2.56528788714777e-19
Eosinophil	Eosinophil	1	0
Gamma delta T cell	Eosinophil	0.311666986955787	1.28384106550698e-09
Immature  B cell	Eosinophil	0.355280079036985	3.06986201474809e-12
Immature dendritic cell	Eosinophil	0.355888962870379	2.80251063094663e-12
Macrophage	Eosinophil	0.350464703553604	6.26759900207985e-12
Mast cell	Eosinophil	0.483027519943643	1.283422794678e-22
MDSC	Eosinophil	0.325972621050471	1.96764714233746e-10
Memory B cell	Eosinophil	0.0996153520010878	0.0579468165313203
Monocyte	Eosinophil	0.0872801231917254	0.0968452378087419
Natural killer cell	Eosinophil	0.408476004156567	4.96849807023945e-16
Natural killer T cell	Eosinophil	0.349286825680598	7.4494894613719e-12
Neutrophil	Eosinophil	0.266356697044794	2.59634056617951e-07
Plasmacytoid dendritic cell	Eosinophil	0.262671532385244	3.83997991822166e-07
Regulatory T cell	Eosinophil	0.405986529793662	7.75067081718656e-16
T follicular helper cell	Eosinophil	0.338531383232538	3.49028776204212e-11
Type 1 T helper cell	Eosinophil	0.456429808263058	4.43082841255937e-20
Type 17 T helper cell	Eosinophil	0.229876100795237	9.68865850680128e-06
Type 2 T helper cell	Eosinophil	0.146874471585672	0.00504878760385403
riskScore	Eosinophil	-0.317836608394117	5.78745442574316e-10
Activated B cell	Gamma delta T cell	0.498579772813826	7.09078966678016e-22
Activated CD4 T cell	Gamma delta T cell	0.353539729983728	4.57568914715034e-10
Activated CD8 T cell	Gamma delta T cell	0.529652667774215	2.94085414764435e-25
Activated dendritic cell	Gamma delta T cell	0.429081465997589	1.79772322972885e-15
CD56bright natural killer cell	Gamma delta T cell	0.329518296871386	1.21716265393759e-08
CD56dim natural killer cell	Gamma delta T cell	0.130098931706164	0.419575197461467
Central memory CD4 T cell	Gamma delta T cell	0.425843869841861	3.29718095448396e-15
Central memory CD8 T cell	Gamma delta T cell	0.485961050501483	1.32469542554952e-20
Effector memeory CD4 T cell	Gamma delta T cell	0.43584441675853	4.88973364204944e-16
Effector memeory CD8 T cell	Gamma delta T cell	0.63952471436148	1.2390425334754e-40
Eosinophil	Gamma delta T cell	0.311666986955787	1.15760415305839e-07
Gamma delta T cell	Gamma delta T cell	1	0
Immature  B cell	Gamma delta T cell	0.575620762963807	2.04182412656745e-33
Immature dendritic cell	Gamma delta T cell	0.494697918856633	8.37131078512485e-24
Macrophage	Gamma delta T cell	0.552134706077449	2.36058540251939e-30
Mast cell	Gamma delta T cell	0.538972579404523	9.68942395928177e-29
MDSC	Gamma delta T cell	0.590792933836631	1.57124980978781e-35
Memory B cell	Gamma delta T cell	0.303795400982744	3.45584311299097e-09
Monocyte	Gamma delta T cell	0.33310536776132	7.4397968127623e-11
Natural killer cell	Gamma delta T cell	0.439486931953029	1.41676721552126e-18
Natural killer T cell	Gamma delta T cell	0.585411825743318	9.09199216633587e-35
Neutrophil	Gamma delta T cell	0.248332280476931	1.6653925677337e-06
